Category,Item Name,Description,Reorder Level,Reorder Quantity,Selling Price (NGN)
Wound Care & Dressings,Gauze Roll,Sterile gauze roll for wound dressing,,,12750
Wound Care & Dressings,Sofra-Tulle,Medicated paraffin gauze dressing,,,360
Wound Care & Dressings,Crepe Bandage 4 inch,"Elastic crepe bandage, 4 inch width",,,750
Wound Care & Dressings,Crepe Bandage 10 inch,"Elastic crepe bandage, 10 inch width",,,825
Wound Care & Dressings,Agary Plaster 10cm & 5cm,"Adhesive wound plaster, available in 10cm and 5cm",,,3500
Wound Care & Dressings,Cotton Wool,Absorbent cotton wool for wound care,,,5250
Wound Care & Dressings,Soft Band,Soft cohesive bandage for light support,,,1200
Wound Care & Dressings,Abdominal Mop,Sterile abdominal swab/mop for surgical use,,,7500
Wound Care & Dressings,Surgical Drape,Sterile drape for surgical field coverage,,,6000
Wound Care & Dressings,Scotch Cast Size 3,"Synthetic casting tape, size 3",,,9750
Wound Care & Dressings,Scotch Cast Size 4,"Synthetic casting tape, size 4",,,9750
Wound Care & Dressings,Scotch Cast Size 5,"Synthetic casting tape, size 5",,,9750
IV & Infusion Supplies,Drip Set,Standard IV infusion drip set,,,1275
IV & Infusion Supplies,150cm Extension,"IV extension tubing, 150cm length",,,1800
IV & Infusion Supplies,50cm Extension,"IV extension tubing, 50cm length",,,1800
IV & Infusion Supplies,Blood Transfusion Set,Sterile set for blood transfusion administration,,,1350
IV & Infusion Supplies,Central Line,Central venous catheter line,,,52500
IV & Infusion Supplies,Grey Cannula,"IV cannula, grey (16G)",,,1125
IV & Infusion Supplies,Yellow Cannula,"IV cannula, yellow (24G)",,,1125
IV & Infusion Supplies,Blue Cannula,"IV cannula, blue (22G)",,,1125
IV & Infusion Supplies,Pink Cannula,"IV cannula, pink (20G)",,,1125
IV & Infusion Supplies,Green Cannula,"IV cannula, green (18G)",,,1125
IV & Infusion Supplies,Plain Bottle,Plain specimen/sample collection bottle,,,105
IV & Infusion Supplies,EDTA Bottle Green,"EDTA vacutainer bottle, green cap",,,135
IV & Infusion Supplies,EDTA Bottle Blue,"EDTA vacutainer bottle, blue cap",,,105
IV & Infusion Supplies,EDTA Bottle Red,"EDTA vacutainer bottle, red cap",,,120
IV & Infusion Supplies,EDTA Bottle Grey,"EDTA vacutainer bottle, grey cap",,,127.5
Respiratory & Airway,Nasal Cannula Adult,Adult nasal cannula for oxygen delivery,,,300
Respiratory & Airway,Oxygen Mask,Standard oxygen face mask,,,3750
Respiratory & Airway,Non-Rebreather Mask,High-concentration oxygen mask with reservoir bag,,,4050
Respiratory & Airway,Nebulizer Mask,Mask for nebulizer drug delivery,,,4050
Respiratory & Airway,Nasal Prong Adult,Adult nasal prongs for oxygen therapy,,,3000
Respiratory & Airway,Nasal Prong Child,Paediatric nasal prongs for oxygen therapy,,,3000
Respiratory & Airway,Suction Tube,"Suction catheter, sizes 5/6/8/10/12/14/16/18",,,1125
Respiratory & Airway,Suction Tubing,Connecting tubing for suction machine,,,4500
Respiratory & Airway,Guedel Airway Yellow,"Oropharyngeal airway, yellow (size 3)",,,1950
Respiratory & Airway,Guedel Airway White,"Oropharyngeal airway, white (size 4)",,,1950
Respiratory & Airway,Guedel Airway Red,"Oropharyngeal airway, red (size 2)",,,1950
Respiratory & Airway,Guedel Airway Green,"Oropharyngeal airway, green (size 1)",,,1950
Respiratory & Airway,Guedel Airway Orange,"Oropharyngeal airway, orange (size 0)",,,1950
Respiratory & Airway,Chest Drainage System,Closed chest drainage/underwater seal system,,,75000
Laboratory Supplies,Pipette Tips Yellow & Blue,"Disposable pipette tips, yellow and blue",,,500
Laboratory Supplies,Nutrient Agar,Microbiological culture medium,,,50000
Laboratory Supplies,Anti-Sera,Blood grouping antisera reagent,,,4125
Laboratory Supplies,FOB,Faecal occult blood test kit,,,450
Laboratory Supplies,HCV,Hepatitis C virus rapid test kit,,,450
Laboratory Supplies,VCRL,VDRL syphilis rapid test kit,,,450
Laboratory Supplies,HSBAG,Hepatitis B surface antigen rapid test kit,,,390
Laboratory Supplies,Accu-Chek Active Strip,Blood glucose test strip for Accu-Chek Active,,,450
Laboratory Supplies,Health Care Strip,Generic blood glucose test strip,,,390
Laboratory Supplies,Accu-Chek Instant Strip,Blood glucose test strip for Accu-Chek Instant,,,450
Laboratory Supplies,Lancet,Single-use finger-prick lancet,,,100
Laboratory Supplies,Microscope Slide,Plain glass microscope slide,,,30
Laboratory Supplies,Microscope Cover Slip,Glass cover slip for microscopy,,,30
Laboratory Supplies,Petri Dish,Sterile plastic petri dish for culture,,,975
Laboratory Supplies,Urine Bottle,Sterile urine specimen collection bottle,,,750
Laboratory Supplies,Urine Bottle with Stool,Combined urine and stool specimen container,,,975
