Service Code,Department,Category,Service Name,Service Rate
ANAN000001,Anaesthesia,Anaesthesia,GENERAL ANEASTHESIA,350000
ANAN000002,Anaesthesia,Surgical Procedures,EPIDURALANAESTHESIA FOR SURGERY,400000
CAHC000001,Cardiology,Endoscopy & Minimal Invasive,ENDOSCOPY UPPER GI,350000
CAHC000002,Cardiology,Endoscopy & Minimal Invasive,COLONOSCOPY PACKAGE,250000
CAHC000003,Cardiology,Cardiology Procedures,CAG(CORONARY  ANGIOGRAPHY),200000
CAMS000003,Cardiology,Cardiology Procedures,2 D ECHO (COLOR DOPPLER),90000
CAPF000001,Cardiology,Cardiology Procedures,BP MONITORING (24 hours ),80000
CAPF000002,Cardiology,Cardiology Procedures,DOBUTAMINE STRESS ECHO,30000
CAPF000004,Cardiology,Cardiology Procedures,ECG,30000
CAPF000005,Cardiology,Cardiology Procedures,ECHO TRANSESOPHAGEAL,75000
CAPF000007,Cardiology,Cardiology Procedures,ECHO STRESS,65000
CAPF000008,Cardiology,Cardiology Procedures,FOETAL ECHO CARDIOGRAPHY,65200
CAPF000009,Cardiology,Cardiology Procedures,HOLTER MONITOR,60000
CAPF000010,Cardiology,Cardiology,TREADMILL TEST(TMT),90000
CAPF000011,Cardiology,Cardiology,PORTABLE CHARGES,70000
CAPF000012,Cardiology,Cardiology,IABP INSERTION CHARGES,65300
CAPF000013,Cardiology,Surgical Procedures,PSEUDOANEURYSM FOR U/S GUIDED COMPRESSION REPAIR,65000
CAPF000019,Cardiology,Cardiology Procedures,ECHO,40000
CAPF000020,Cardiology,Cardiology Procedures,ECHO SCREENING,45000
CAPF000021,Cardiology,"ENT (Ear, Nose & Throat)",EVENT RECORDING,10000
CAPF000022,Cardiology,Cardiology Procedures,PACEMAKER CHECK,45000
CAPF000023,Cardiology,Cardiology Procedures,LIMITED ECHO,35000
CAPF000024,Cardiology,Cardiology,BUBBLE STUDYADDENDUM,20000
CAPF000025,Cardiology,Cardiology Procedures,STANDARD STRESS TEST,45000
CAPF000026,Cardiology,Cardiology Procedures,STRESS TEST WITH OXIMETRY,50500
CAPF000027,Cardiology,Cardiology Procedures,24HRAMBULATORY BP MONITORING,80000
CAPF000028,Cardiology,Cardiology,PULMONARY FUNCTION TEST,50000
CAPF000029,Cardiology,Cardiology Procedures,VASCULAR ECHOVENOUS,120000
CAPF000030,Cardiology,Cardiology Procedures,VASCULAR ECHOARTERIAL,150000
CAPF000031,Cardiology,Cardiology Procedures,VASCULAR ECHO CAROTID BILATERAL,112500
CAPF000032,Cardiology,Cardiology Procedures,ROUTINE STRESS TEST,45000
CAPF000033,Cardiology,Cardiology,ANKLE-BRACHIAL INDEX,90000
CAPF000034,Cardiology,Cardiology Procedures,ECHO BUBBLE STUDY,37500
CAPF000035,Cardiology,"ENT (Ear, Nose & Throat)",THORACOCENTESIS/PERICARDIOCENTESIS ,450000
CAPF000037,Cardiology,Medical Supplies & Equipment,DRESSING,5000
CAPF000038,Cardiology,Cardiology,SLEEP STUDY TEST,40000
CAPF000039,Cardiology,Cardiology,SLEEP CPA THERAPEUTIC STUDY,135000
CAPF000040,Cardiology,Cardiology,SPIROMETER,45500
CAPF000044,Cardiology,Cardiology,CPAP MACHINE-RESMED,350000
